Charmed Life/The Lives of Christopher Chant,Fiction_Children & Young Adult_Fantasy,"In the multiple parallel universes of the Twelve Related Worlds_ only an enchanter with nine lives is powerful enough to control the rampant misuse of magic -- and to hold the title Chrestomanci...

The Chants are a family strong in magic_ but neither Christopher nor Cat can work even the simplest of spells. So how can they hope to thwart the schemes of an avaricious enchanter and a ruthless young witch -- schemes that could destroy all the worlds of Chrestomanci?"
The Magicians of Caprona/Witch Week,Fiction_Children & Young Adult_Fantasy,"In the multiple parallel universes of the Twelve Related Worlds_ only an enchanter with nine lives is powerful enough to control the rampant misuse of magic -- and to hold the title Chrestomanci...

There is a world in which the peaceful city-state of Caprona is threatened by the malevolent machinations of a mysterious enchanter... and another in which magic is outlawed and witches are still burned at the stake.

In two worlds where the practice of magic has gone dangerously awry_ there is only one solution -- call upon the Chrestomanci."
"","",""
The Winds of Altair,Fiction_Science Fiction_Alien Beings_Adventure_Planetary Exploration and Colonization,"SURVIVAL... AT ALL COSTS?

Earth is an old planet_ and her teeming masses are running out of resources... and time. A path to the stars seems the only answer and it is up to men such as Jeff Holman to discover a haven for Earth's millions. Altair VI is one such planet_ and Holman is determined to transform this world into one where the human race can survive.

But in terraforming the planet_ Holman discovers that Altair VI holds a terrible secret_ and he is faced with a soul-wrenching decision -- for to make Altair VI habitable for humans_ all native life must die.

Including a race that is as intelligent as Man."
Incident at Hawk's Hill,Fiction_Children & Young Adult_Adventure_Animals_Zoos And Wild Animals,"At age six_ Ben MacDonald has the ability to communicate with animals better than he can with people. Then one June day in 1870_ he wanders away from his family's farm to observe the wild creatures he loves. When he doesn't return home_ his family begins a desperate search for him. As the days go by with no sign of Ben_ the MacDonalds start to lose hope. How could a small boy survive on the prarie?

But Ben is alive. In a story that would seem incredible if it were not based on a true incident_ Ben is found and adopted by a female badger who has recently lost her pups. Ben survives an extraordinary summer in the wild_ learning to live like his badger mother. The powerful bond that develops between the boy and the wild animal tests the limit of Ben's human spirit and makes his story unforgettable."
Brain Rose,"Fiction_Science Fiction_Hard Science_Medicine_Bleak Futures_Overpopulation, Plagues","Caroline Bohentin_ Joe MacLaren_ and Robbie Brekke meet at a fashionable private hospital where each has signed up for a new -- expensive and exclusive -- procedure: Previous Life Access Surgery. This procedure removes barriers in the human brain and allows patients to recall memories from all of their previous incarnations throughout human history. But the memories are not under conscious and willful control. After the operation_ each patient must begin his or her journey into the past with moments of discovery and surprise_ whose meaning and significance are often unclear.

Meanwhile_ in the outside world_ which is ravagde by plagues that destroy the body's immune defenses_ a crisis is building_ both medically and politically. The mutated plague virus is destroying people's memories at an ever-increasing rate. And only those who have had the surgery seem to be immune.

As Caroline_ Joe_ and Robbie begin to remember flashes of previous lives_ it becomes more and more evident that they are somehow connected to each other and that their connection has fateful implications for the entire future of the human race."
Agyar,Fiction_Fantasy_Dark Fantasy,"What if you could live for centuries_ and the only price was your soul..?

Agyar is a man who has paid this price. Born over a century ago_ and once a frivolous young man in search of pleasure_ he found instead immortality in a woman's blood-red lips.

Now he roams from woman to woman_ from decade to decade_ and from land to land. Death does not bind him. Only one thing does -- and that is a bind he has vowed to break. It has brought him to modern day Ohio and an abandoned house in a quiet college town. Here he plays his familiar role: the handsome drifter_ the sharp-tongued and heartless Lothario. But in this town are two women_ one young and one as ageless as he. And one of these two women will cost him much more than his blackened soul."
The Mozart Season,Fiction_Children & Young Adult_Performing Arts,"Allegra Shapiro was planning on taking it easy this summer_ but then she found out that she had made it to the finals of a prestigious competition for young musicians. Now she's got to concentrate on playing Mozart's Fourth Violin Concerto. Her way. Better than anyone else.

But it's hard for Allegra to stay focused when there's so much on her mind. She wants to understand the pain of an eccentric_ talented singer. She needs to help a mysterious man find his lost song. She has to come to terms with a tragic event in her family's history.

Who says music can take your cares away?"
Make Lemonade,Fiction_Children & Young Adult,"LaVaughn needed a part-time job. Something she could do after school to help earn money for college. Jolly needed a babysitter. Someone she could trust with two kids while she worked the evening shift.

It didn't matter that LaVaughn was fourteen years old -- only three years younger than Jolly.

It didn't matter that Jolly didn't have a husband --- or a mom and dad. Because LaVaughn gives Jolly and her two babies more love and understanding than should be possible for a fourteen-year-old. Because if she doesn't_ no one will."
True Believer,Fiction_Children & Young Adult,"When LaVaughn was little_ the obstacles in her life didn't seem so bad. If she had a fight with Myrtle or Annie_ it would never last long. If she was mad at her mother_ they made up by bedtime. School was simple. Boys were buddies. Everything made sense.

But LaVaughn is fifteen and the obstacles aren't going away anymore. Big questions separate her from her friends. Her mother is distracted by a new man. School could slip away from her so easily. And the boy who's a miracle in her life acts just as if he's in love with her. Only he's not in love with her.

Returning to the characters and language she explored so profoundly in Make Lemonade_ Virginia Euwer Wolff rises to the occasion in this astonishing second of three novels about LaVaughn_ her family_ and her community."
Dead On the Island,Fiction_Crime and Mystery_Detective Story and Detectives_Private Detective,iblist.com user synopsisDetective novel featuring Galveston private eye Truman Smith.
Gator Kill,Fiction_Crime and Mystery_Suspense_Detective Story and Detectives_Private Detective,"Fred Benton has a problem_ and he knows just the man to make it go away: Truman Smith. And in spite of himself_ Smith wants to help_ wants to do something other than housepainting. Nice_ safe jobs that don't carry a load of guilt with them_ don't remind him that when his sister needed him_ he'd failed.

So now he is in the swamps an hour west of Houston_ looking at the skinned gator left to rot by a poacher. Maybe. Because a lot of strange things are happening on Fred Benton's land. Late night phone calls. Noises in the darkness -- loud_ unsettling noises. It is clear that someone wants Fred and his wife out of the way. But who? And why? 

And were the rifle shots just a warning_ or did someone mean to kill Tru now that he is poking around in places where people tend to mind their own business ... and don't take kindly to strangers asking questions?

Something is happening in the swamps on Fred Benton's property_ something worth risking the heat and mud and bellowing gators. Something worth killing for.

And the killing has begun..."
When Old Men Die,Fiction_Crime and Mystery_Detective Story and Detectives,Truman Smith is happily fishing off a Galveston pier when his friend Dino seeks him out and asks for some help: Outside Harry_ an old-timer with connections to Dino's family_ is missing. Smith doesn't want to have anything to do with it; the last time he looked for a missing person the outcome left something to be desired. But Dino has a way of being persuasive_ and Tru promises to give it a day or two. When the first person he questions is murdered_ and when he himself is shot at_ Truman Smith is reminded of all the reasons he hates missing person cases. But he's committed now: Outside Harry's life is in his hands_ and Smith is going to see to it that if Harry has any secrets he wants to tell_ he won't have to take them to an early grave.
The Prairie Chicken Kill,Fiction_Crime and Mystery_Detective Story and Detectives,That Truman Smith was sitting in a frayed lawn chair reading an old paperback copy of Tobacco Road was not remarkable. And strange as it sounds_ it wasn't particularly noteworthy that someone wanted Smith to look into the murder of a prairie chicken; after all_ he'd investigated and solved the murder of an alligator_ hadn't he? The Attwater's Prairie Chicken isn't really a chicken_ it's a grouse. And there are only about 108 of them in the world. The murdered bird was on Lance Garrison's land_ and part of his deal with the government was that the small flock would be protected. Garrison's wealth - and his radio station - made him a likely target for trouble_ but this was unexpected. Also unexpected was the reason the prairie chicken was killed ... and all the deaths that were to follow_ and not of other endangered species. Some people in Picketville_ Texas_ had decided that Truman Smith endangered them and that he had to be stopped. The result was a deadly game of chicken_ with Smith everyone's favorite target.
Murder Takes a Break,Fiction_Crime and Mystery_Detective Story and Detectives,Randall Kirbo had disappeared during spring break; as far as the police are concerned_ the kid had just decided to take off. His parents don't agree with that theory_ and Truman Smith has some questions of his own. They get louder when he learns about the discovery of the body of a young woman_ and the more the police deny any connection between the murder and the disappearance_ the clearer it becomes that Randall is in serious trouble - if he's alive. Too quickly_ Truman Smith realizes that he's in trouble_ too. He can't trust his sources_ he can't trust his witnesses_ and it's becoming clear that he might not be able to trust his friends. That leaves him with his cat_ too many theories_ and a target painted on his back.
Murder Under Blue Skies,Fiction_Crime and Mystery_Crime/Caper,"A beloved fixture on NBC TV's ""Today"" show since 1980_ Willard Scott is welcomed into millions of homes every week as he broadcasts from around the country. Now_ with this wonderfully charming new series of cozy mysteries_ Scott's fans will share a new set of adventures. Featuring retired weatherman Stanley Waters_ Murder Under Blue Skies provides one surprise after another for Stanley_ who thinks that opening his own bed-and-breakfast in Virginia_ called Blue Skies_ is the perfect change after two decades on the nation's top morning show. But when a guest drops dead at Blue Skies' grand opening_ Stanley and his three adorable cats find themselves smack dab in the middle of a murder investigation. Suddenly real life is much more exciting than television - and certainly more dangerous."
Dark Lord of Derkholm,Fiction_Children & Young Adult_Fantasy,Everyone - wizards_ soldiers_ farmers_ elves_ dragons_ kings and queens alike  is fed up with Mr Chesneys Pilgrim Parties: groups of tourists from the next-door world who descend en masse every year to take the Grand Tour. What they expect are all the trappings of a grand fantasy adventure_ including the Evil Enchantress_ Wizard Guides_ the Dark Lord_ Winged Minions_ and all. And every year different people are chosen to play these parts. But now theyve had enough: Mr Chesney may be backed by a very powerful demon_ but the Oracles have spoken. Now its up to the Wizard Derk and his son Blade_ this years Dark Lord and Wizard Guide_ not to mention Blades griffin brothers and sisters_ to save the world from Mr Chesney.
Deep Secret,Fiction_Science Fiction_World Versions_Alternate and Parallel Worlds,"All over the universe_ Magids are at work to maintain the balance of magic_ using their own talents to push the right people into doing the right things at the right time. And on Earth_ the Magids are working hard to coax the world into its rightful place Ayewards_ towards magic.
Rupert Venables has been the junior Magid here for only two years when his sponsor dies; it's up to him to find a replacement. Trouble is_ the most promising on his list of five names_ Maree Mallory_ doesn't want anything to do with Rupert Venables. And while the junior Magid is trying to track down the other four_ the fatelines are becoming dangerously entangled on more than one world and magic starts getting out of hand..."
Murder in the Mist,Fiction_Crime and Mystery_Crime/Caper,"TV weatherman Stanley Waters can certainly forecast a profitable plug.  And when his crew suggests a Civil War reenactment on the grounds of his charming bed-and-breakfast_ Stanley jumps.  He'd better.  The mock battle results in the accidentl death of a local businessman_ felled by wayward ammunition.  Now Stanley's left to wonder if it was just foul weather and bad aim that spared his own life.

If that's the case_ then who would want Stanley dead?  Apparently not everyone in his hometown is a die-hard fan- starting with an old network nemesis who hasn't an alibi to save his life.  Or Stanley's.  Caught in the eye of a growing storm_ Stanley's next prediction is the mysterious killer's next move- and this time it could cost Stanley more than ratings."
Dogsbody,Fiction_Children & Young Adult_Fantasy,"The Dog Star_ Sirius_ is tried for murder by his heavenly peers and found guilty. His sentence: to be reborn on Earth as a dog until such time as he carries out the seemingly impossible mission imposed on him.

In his Earth guise_ Sirius_ renamed Leo_ truly lives a dog's life. Although he is the pet of a girl who loves him_ both child and dog are mistreated by the family with whom they live. But the worldly obstacles Leo faces are minor when compared with his chilling encounters with the Dark Powers that are set against him. His quest seems hopeless until at lost Sol_ Moon_ and Earth itself come to his aid.(from the publisher)"
Murder is an Art,Fiction_Crime and Mystery_Detective Story and Detectives,"Dr. Sally Good_ head of the English and Fine Arts Division of Hughes Community College in Texas_ has her hands full. On top of dealing with numerous complaints from testy faculty members concerning the allocation of the department's budget_ she must also conduct an inquiry into the recent misbehavior of the department's philandering art professor_ Val Hurley_ who stands accused of molesting a young female student. And then there is the complaint lodged against the art department--and namely Val--for displaying what some people see as a satanic painting.

When Val is found bludgeoned to death in his office and the painting in question disappears_ it isn't long before the department dissolves into a state of chaos and hysteria. Sally begins to realize that she might be in over her head when the student in question is found murdered shortly thereafter.

The police aren't getting very far with their investigation: Their only tenuous suspect is the victim's husband_ who has disappeared. When Sally decides that her insider's knowledge of the department gives her a unique insight into the identity of the murderer_ her decision could prove fatal. With a little sleuthing_ Sally_ aided by attractive fellow professor Jack Neville_ uncovers a lot more than she bargained for."
