First Gravedigger,Fiction_Crime and Mystery,Earl Sommers is in hot water. An agent with the Speer Galleries_ he's been caught cheating with Speer's wife as well as stealing from the gallery. So when an old friend turns up in a suicidal mood_ Earl agrees to find him a gun in return for one last favor . . .
Kill Fee,Fiction_Crime and Mystery_Crime/Caper,"Pluto is a cold killer whose researches situations where murder-for-hire would be to someone's advantage_ execute the victim_ then approach the benefitting ""client"" with an invoice. He is very good at collecting."
But He Was Already Dead When I Got Here,Fiction_Crime and Mystery_Detective Story and Detectives,iblist.com user synopsisAn old-fashioned mystery story with myriad clues_ plenty of red herrings_ and a plot that keeps complicating itself for no other reason than to keep you guessing.  Have fun!
In-Laws and Outlaws,Fiction_Crime and Mystery,The Deckers are dying grisly deaths. Who will be next? Gillian realizes that once a Decker_ always a Decker. A position she is discovering can be most precarious indeed.
Plum Pudding,Fiction_Children & Young Adult_Picture Books,The Value of Using Time Wisely: an Earth Angel called Plum Pudding is asked to go to Earth during the holiday season to give the gift of a little more time.
Jack Be Quick and Other Crime Stories,Fiction_Crime and Mystery_Barbara  Paul,"Barbara Paul's versatility is apparent in the diversity of short stories in her first collection. ""French Asparagus"" explores a dysfunctional family's reaction when one of their own is in danger. ""Scat"" features a neurotic_ half-starved cat who has trouble trusting humans. The title story_ ""Jack Be Quick_ "" gives the reader a new look at Jack the Ripper and his victims - all respectable women forced into prostitution by related circumstances...

Contents:

Introduction · in 
Okay_ Diogenes_ You Can Stop LookingWe Found Him · nv Murder Most Delicious_ ed. Martin H. Greenberg_ Signet_ 1995 
Scat · nv Cat Crimes_ ed. Martin H. Greenberg & Ed Gorman_ Fine_ 1991 
French Asparagus · ss Murderous Intent Fll 96 
The Favor · ss Mystery Monthly Jul 76 
Portrait of the Artist as a Young Corpse [Enrico Caruso] · ss Crime Through Time_ ed. Miriam Grace Monfredo & Sharan Newman_ Berkley_ 1997 
Stet · ss Brought to Book_ ed. Penny Sumner_ London: Womens Press_ 1998 
Ho_ Ho_ Ho · ss Santa Clues_ ed. Martin H. Greenberg & Carol-Lynn Rossel Waugh_ Signet_ 1993 
Play Nice · ss EQMM Mar 94 
Jack Be Quick · nv Solved_ ed. Ed Gorman & Martin H. Greenberg_ Carroll & Graf_ 1991"
Clean Sweep,Fiction_Crime and Mystery,Published in A New York State of Crime.
Golden Retriever,Fiction_Crime and Mystery,Published in December Ellery Queen's Mystery Magazine.
Answer Affirmative or Negative,"Fiction_Science Fiction_Technology_Computers, Automation, Artificial Intelligence",First printed in April in Analog.
The Untameable Part,Fiction_General Fiction,First printed in May in Fiction magazine.
