After Many a Summer Dies the Swan,Fiction_General Fiction,A Hollywood millionaire with a terror of death_ whose personal physician happens to be working on a theory of longevity--these are the elements of Huxley's caustic and entertaining satire on man's desire to live indefinitely
Ape and Essence,Fiction_Science Fiction,"When Aldous Huxley's Brave New World first appeared in 1932_ it presented in terms of purest fantasy a society bent upon self-destruction. Few of its outraged critics anticipated the onset of another world war with its Holocaust and atomic ruin. In 1948_ seeing that the probable shape of his anti-utopia had been altered inevitably by the facts of history_ Huxley wrote Ape and Essence.  In this savage novel_ using the form of a film scenario_ he transports us to the year 2108. The setting is Los Angeles where a ""rediscovery expedition"" from New Zealand is trying to make sense of what is left. From chief botanist Alfred Poole we learn_ to our dismay_ about the 22nd-century way of life"
Crome Yellow,Fiction_General Fiction_Humor_Aldous  Huxley_Stephen  King_Ray  Bradbury_Miguel de  Cervantes_Jonathan  Swift_Jules  Verne_Edith  Wharton_Virginia  Woolf_  Voltaire_Umberto  Eco_Jorge Luis  Borges_Washington  Irving_Donald  Olson_Edmund (Lester)  Pearson_Elizabeth  McCracken_Edward  Bellamy_George  Crabbe,"On vacation from school_ Denis goes to stay at Crome_ an English country house inhabited by several of Huxley's most outlandish characters from Mr. Barbecue-Smith_ who writes 1_500 publishable words an hour by ""getting in touch"" with his ""subconscious_"" to Henry Wimbush_ who is obsessed with writing the definitive History of Crome. Denis's stay proves to be a disaster amid his weak attempts to attract the girl of his dreams and the ridicule he endures regarding his plan to write a novel about love and art."
Time Must Have a Stop,Fiction_General Fiction,"Sebastian Barnack_ a handsome English schoolboy_ goes to Italy for the summer_ and there his real education begins. His teachers are two quite different men: Bruno Rontini_ the saintly bookseller_ who teaches him about things spiritual; and Uncle Eustace_ who introduces him to life's profane pleasures. The novel that Aldous Huxley himself thought was his most successful at ""fusing idea with story_"" Time Must Have A Stop is part of Huxley's lifelong attempt to explore the dilemmas of twentieth-century man and to create characters who_ though ill-equipped to solve the dilemmas_ all go stumbling on in their painfully serious comedies (in this novel we have the dead atheist who returns in a seance to reveal what he has learned after death but is stuck with a second-rate medium who garbles his messages)."
Owl Moon,Fiction_Children & Young Adult_Picture Books,A father and his child take a walk in the woods at night to go owling.
Fabian,Fiction_General Fiction,Originally published in German in 1931 and in an expurgated English translation in 1932_ this novel is the tale of Jacob Fabian_ a Berlin advertising copywriter doomed in the context of economic_ ethical_ and political collapse by his characteristic mixture of detachment and decency. Fabian is a middle-of-the-road liberal_ an Enlightenment rationalist_ a believer that the public condition reflects prevailing private moralities_ and a skeptic toward all ideological nostrums. Richly detailed and vividly plotted_ Fabian remains an unparalleled personalization of the collapse of the Weimar Republic.
Das doppelte Lottchen,Fiction_Children & Young Adult_Humorous Fiction,When they meet for the first time at summer camp_ two ten-year-old girls discover they are twins and agree to exchange identities in an attempt to reconciliate their divorced parents.
Das fliegende Klassenzimmer,Fiction_Children & Young Adult,"This story is about the unsuccessful planned performance of a play ""The Flying Classroom"" which_ had it not been stalled by a kidnapping_ would have been part of the school's Christmas celebrations"
Der kleine Mann,Fiction_Children & Young Adult_Adventure,Maxie Pichelsteiner is only two inches tall_ but longs to be a circus performer. When he teams up with the magician Hokus Von Pokus_ their fame spreads around the world_ but then Maxie gets into big trouble when he's kidnapped by dastardly villains.
Emil und die drei Zwillinge,Fiction_Children & Young Adult_Humorous Fiction,Emil and the three twins? Three? Twins? Yes_ you read that correctly. It's another of Emil Tischbein's peculiar adventures with his old friends from Emil and the Detectives - the Professor_ Gustav and Little Tuesday - this time by the sea. Of course_ the detectives couldn't have an ordinary seaside holiday like other people - and when they become entangled with the mystery of the three acrobat twins and the wicked Herr Anders_ it looks as if it's going to turn into a most extraordinary time for them all!
